class,method_id,name,param,reason,module,already_spatial
C,__blender_render__,Blender Render,source,categorical/str,image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,shape,categorical/str,image_pipeline/methods/blender_render.py,False
D,__blender_render__,Blender Render,model_path,categorical/str,image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,apply_material,categorical/str,image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,size,non-spatial by name,image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,color,categorical/str,image_pipeline/methods/blender_render.py,False
B,__blender_render__,Blender Render,metalness,"structural use: _build_model_script(), _build_scene_script()",image_pipeline/methods/blender_render.py,False
B,__blender_render__,Blender Render,roughness,"structural use: _build_model_script(), _build_scene_script()",image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,bg_color,categorical/str,image_pipeline/methods/blender_render.py,False
B,__blender_render__,Blender Render,light_intensity,"structural use: _build_model_script(), _build_scene_script()",image_pipeline/methods/blender_render.py,False
C,__blender_render__,Blender Render,engine,categorical/str,image_pipeline/methods/blender_render.py,False
B,__blender_render__,Blender Render,samples,"structural use: _build_model_script(), _build_scene_script()",image_pipeline/methods/blender_render.py,False
A,__blender_render__,Blender Render,spin_speed,1 arithmetic use(s) of `spin_speed`,image_pipeline/methods/blender_render.py,False
D,__blender_render__,Blender Render,texture_mode,categorical/str,image_pipeline/methods/blender_render.py,False
C,__counter__,Counter,start,node emits no image,image_pipeline/methods/channels.py,False
C,__counter__,Counter,end,node emits no image,image_pipeline/methods/channels.py,False
C,__counter__,Counter,step_size,node emits no image,image_pipeline/methods/channels.py,False
C,__counter__,Counter,mode,node emits no image,image_pipeline/methods/channels.py,False
C,__ramp__,Ramp,start,node emits no image,image_pipeline/methods/channels.py,False
C,__ramp__,Ramp,end,node emits no image,image_pipeline/methods/channels.py,False
C,__ramp__,Ramp,duration_frames,node emits no image,image_pipeline/methods/channels.py,False
C,__ramp__,Ramp,easing,node emits no image,image_pipeline/methods/channels.py,False
C,__ramp__,Ramp,mode,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,waveform,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,min,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,max,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,rate,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,phase,node emits no image,image_pipeline/methods/channels.py,False
C,__lfo__,LFO,bipolar,node emits no image,image_pipeline/methods/channels.py,False
C,__beats__,Beats,bpm,node emits no image,image_pipeline/methods/channels.py,False
C,__beats__,Beats,beats_per_bar,node emits no image,image_pipeline/methods/channels.py,False
C,__beats__,Beats,swing,node emits no image,image_pipeline/methods/channels.py,False
C,__beats__,Beats,fps,node emits no image,image_pipeline/methods/channels.py,False
C,__noise1d__,Noise1D,min,node emits no image,image_pipeline/methods/channels.py,False
C,__noise1d__,Noise1D,max,node emits no image,image_pipeline/methods/channels.py,False
C,__noise1d__,Noise1D,rate,node emits no image,image_pipeline/methods/channels.py,False
C,__noise1d__,Noise1D,smooth,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,attack,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,decay,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,sustain,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,release,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,sustain_level,node emits no image,image_pipeline/methods/channels.py,False
C,__envelope__,Envelope,loop,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,operation,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,a_default,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,b_default,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,map_src_min,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,map_src_max,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,map_dst_min,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,map_dst_max,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,clamp_min,node emits no image,image_pipeline/methods/channels.py,False
C,__math__,Math,clamp_max,node emits no image,image_pipeline/methods/channels.py,False
C,__logic__,Logic,operation,node emits no image,image_pipeline/methods/channels.py,False
C,__logic__,Logic,true_value,node emits no image,image_pipeline/methods/channels.py,False
C,__logic__,Logic,false_value,node emits no image,image_pipeline/methods/channels.py,False
C,__logic__,Logic,threshold,node emits no image,image_pipeline/methods/channels.py,False
C,__blend__,Blend,mode,node emits no image,image_pipeline/methods/channels.py,False
C,__blend__,Blend,a_default,node emits no image,image_pipeline/methods/channels.py,False
C,__blend__,Blend,b_default,node emits no image,image_pipeline/methods/channels.py,False
C,__blend__,Blend,mix_default,node emits no image,image_pipeline/methods/channels.py,False
C,__strobe__,Strobe,rate,node emits no image,image_pipeline/methods/channels.py,False
C,__strobe__,Strobe,duty_cycle,node emits no image,image_pipeline/methods/channels.py,False
C,__strobe__,Strobe,on_value,node emits no image,image_pipeline/methods/channels.py,False
C,__strobe__,Strobe,off_value,node emits no image,image_pipeline/methods/channels.py,False
C,__burst__,Burst,n_pulses,node emits no image,image_pipeline/methods/channels.py,False
C,__burst__,Burst,pulse_interval,node emits no image,image_pipeline/methods/channels.py,False
C,__burst__,Burst,pulse_width,node emits no image,image_pipeline/methods/channels.py,False
C,__burst__,Burst,amplitude,node emits no image,image_pipeline/methods/channels.py,False
C,__burst__,Burst,loop,node emits no image,image_pipeline/methods/channels.py,False
C,__age_heat__,AgeHeat,mode,node emits no image,image_pipeline/methods/channels.py,False
C,__age_heat__,AgeHeat,max_age_default,node emits no image,image_pipeline/methods/channels.py,False
D,22,ffmpeg Frame,text,categorical/str,image_pipeline/methods/cli_tools.py,False
C,22,ffmpeg Frame,bg_color,categorical/str,image_pipeline/methods/cli_tools.py,False
D,22,ffmpeg Frame,text_color,categorical/str,image_pipeline/methods/cli_tools.py,False
B,22,ffmpeg Frame,font_size,"structural use: compare, int()",image_pipeline/methods/cli_tools.py,False
D,22,ffmpeg Frame,font_path,categorical/str,image_pipeline/methods/cli_tools.py,False
C,23,ImageMagick,bg_color,categorical/str,image_pipeline/methods/cli_tools.py,False
C,23,ImageMagick,fill_color,categorical/str,image_pipeline/methods/cli_tools.py,False
C,23,ImageMagick,title,categorical/str,image_pipeline/methods/cli_tools.py,False
C,23,ImageMagick,subtitle,categorical/str,image_pipeline/methods/cli_tools.py,False
C,23,ImageMagick,detail,categorical/str,image_pipeline/methods/cli_tools.py,False
B,23,ImageMagick,title_size,"structural use: compare, int()",image_pipeline/methods/cli_tools.py,False
B,23,ImageMagick,subtitle_size,"structural use: compare, int()",image_pipeline/methods/cli_tools.py,False
B,23,ImageMagick,detail_size,"structural use: compare, int()",image_pipeline/methods/cli_tools.py,False
